"id,value,"
"Product_Title.Dove Nutri.one_Purchased_Title,"
"Product_Title.Dove Nutri.one_Purchased_Title.Celery, Me,1"
"Product_Title.Dove Nutri.two_Purchased_Title,"
"Product_Title.Dove Nutri.two_Purchased_Title.Amy's Pock,1"
"Product_Title.Dove Nutri.three_Purchased_Title,"
"Product_Title.Dove Nutri.three_Purchased_Title.Organic Be,1"
"Product_Title.Dove Body ,"
"Product_Title.Dove Body .one_Purchased_Title,"
"Product_Title.Dove Body .one_Purchased_Title.Q-tips Cot,1"
"Product_Title.Dove Body .two_Purchased_Title,"
"Product_Title.Dove Body .two_Purchased_Title.Scotch-Bri,1"
"Product_Title.Dove Body .three_Purchased_Title,"
"Product_Title.Dove Body .three_Purchased_Title.Ferrero Nu,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Baxter of ,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Cremo Orig,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.nan,1"
"Product_Title.Snuggle Ex,"
"Product_Title.Snuggle Ex.one_Purchased_Title,"
"Product_Title.Snuggle Ex.one_Purchased_Title.Davines Mi,1"
"Product_Title.Snuggle Ex.two_Purchased_Title,"
"Product_Title.Snuggle Ex.two_Purchased_Title.Davines Mi,1"
"Product_Title.Snuggle Ex.three_Purchased_Title,"
"Product_Title.Snuggle Ex.three_Purchased_Title.Method 4x ,1"
"Product_Title.Suave Kids,"
"Product_Title.Suave Kids.one_Purchased_Title,"
"Product_Title.Suave Kids.one_Purchased_Title.OxiClean V,1"
"Product_Title.Suave Kids.two_Purchased_Title,"
"Product_Title.Suave Kids.two_Purchased_Title.Burt's Bee,1"
"Product_Title.Suave Kids.three_Purchased_Title,"
"Product_Title.Suave Kids.three_Purchased_Title.Clorox Dis,1"
"Product_Title.Dove Advan,"
"Product_Title.Dove Advan.one_Purchased_Title,"
"Product_Title.Dove Advan.one_Purchased_Title.Annie's Ma,1"
"Product_Title.Dove Advan.two_Purchased_Title,"
"Product_Title.Dove Advan.two_Purchased_Title.CLIF BAR -,1"
"Product_Title.Dove Advan.three_Purchased_Title,"
"Product_Title.Dove Advan.three_Purchased_Title.Kellogg's ,1"
"Product_Title.Suave Max ,"
"Product_Title.Suave Max .one_Purchased_Title,"
"Product_Title.Suave Max .one_Purchased_Title.Bananas, 1,1"
"Product_Title.Suave Max .two_Purchased_Title,"
"Product_Title.Suave Max .two_Purchased_Title.Amy's Pock,1"
"Product_Title.Suave Max .three_Purchased_Title,"
"Product_Title.Suave Max .three_Purchased_Title.Hass Avoca,1"
"Product_Title.Pond's Rej,"
"Product_Title.Pond's Rej.one_Purchased_Title,"
"Product_Title.Pond's Rej.one_Purchased_Title.Coppertone,1"
"Product_Title.Pond's Rej.two_Purchased_Title,"
"Product_Title.Pond's Rej.two_Purchased_Title.Leviton DD,1"
"Product_Title.Pond's Rej.three_Purchased_Title,"
"Product_Title.Pond's Rej.three_Purchased_Title.nan,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.GypsophilA,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Angel Soft,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.nan,1"
"Product_Title.Degree Men,"
"Product_Title.Degree Men.one_Purchased_Title,"
"Product_Title.Degree Men.one_Purchased_Title.Smart Air ,1"
"Product_Title.Degree Men.two_Purchased_Title,"
"Product_Title.Degree Men.two_Purchased_Title.NFL Arizon,1"
"Product_Title.Degree Men.three_Purchased_Title,"
"Product_Title.Degree Men.three_Purchased_Title.nan,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Glad Press,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Cascade Co,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Q-tips Cot,1"
"Product_Title.Dove Advan,"
"Product_Title.Dove Advan.one_Purchased_Title,"
"Product_Title.Dove Advan.one_Purchased_Title.Kleenex Fa,1"
"Product_Title.Dove Advan.two_Purchased_Title,"
"Product_Title.Dove Advan.two_Purchased_Title.Method Dai,1"
"Product_Title.Dove Advan.three_Purchased_Title,"
"Product_Title.Dove Advan.three_Purchased_Title.Method All,1"
"Product_Title.TRESemmé E,"
"Product_Title.TRESemmé E.one_Purchased_Title,"
"Product_Title.TRESemmé .one_Purchased_Title.TRESemme K,1"
"Product_Title.TRESemmé E.two_Purchased_Title,"
"Product_Title.TRESemmé .two_Purchased_Title.nan,1"
"Product_Title.TRESemmé E.three_Purchased_Title,"
"Product_Title.TRESemmé .three_Purchased_Title.nan,1"
"Product_Title.Knorr Rice,"
"Product_Title.Knorr Rice.one_Purchased_Title,"
"Product_Title.Knorr Rice.one_Purchased_Title.Progresso ,1"
"Product_Title.Knorr Rice.two_Purchased_Title,"
"Product_Title.Knorr Rice.two_Purchased_Title.Hidden Val,1"
"Product_Title.Knorr Rice.three_Purchased_Title,"
"Product_Title.Knorr Rice.three_Purchased_Title.Knorr Grav,1"
"Product_Title.Dove Beaut,"
"Product_Title.Dove Beaut.one_Purchased_Title,"
"Product_Title.Dove Beaut.one_Purchased_Title.Dove go fr,1"
"Product_Title.Dove Beaut.two_Purchased_Title,"
"Product_Title.Dove Beaut.two_Purchased_Title.Swissco su,1"
"Product_Title.Dove Beaut.three_Purchased_Title,"
"Product_Title.Dove Beaut.three_Purchased_Title.NIVEA Esse,1"
"Product_Title.TRESemmé E,"
"Product_Title.TRESemmé E.one_Purchased_Title,"
"Product_Title.TRESemmé .one_Purchased_Title.Cascade Co,1"
"Product_Title.TRESemmé E.two_Purchased_Title,"
"Product_Title.TRESemmé .two_Purchased_Title.Tide Origi,1"
"Product_Title.TRESemmé E.three_Purchased_Title,"
"Product_Title.TRESemmé .three_Purchased_Title.TRESemmé ,1"
"Product_Title.St. Ives S,"
"Product_Title.St. Ives S.one_Purchased_Title,"
"Product_Title.St. Ives S.one_Purchased_Title.Cottonelle,1"
"Product_Title.St. Ives S.two_Purchased_Title,"
"Product_Title.St. Ives S.two_Purchased_Title.nan,1"
"Product_Title.St. Ives S.three_Purchased_Title,"
"Product_Title.St. Ives S.three_Purchased_Title.nan,1"
"Product_Title.Dove Antip,"
"Product_Title.Dove Antip.one_Purchased_Title,"
"Product_Title.Dove Antip.one_Purchased_Title.Colgate To,1"
"Product_Title.Dove Antip.two_Purchased_Title,"
"Product_Title.Dove Antip.two_Purchased_Title.Ferrero Nu,1"
"Product_Title.Dove Antip.three_Purchased_Title,"
"Product_Title.Dove Antip.three_Purchased_Title.Starbucks ,1"
"Product_Title.Vaseline I,"
"Product_Title.Vaseline I.one_Purchased_Title,"
"Product_Title.Vaseline I.one_Purchased_Title.LUNA BAR -,1"
"Product_Title.Vaseline I.two_Purchased_Title,"
"Product_Title.Vaseline I.two_Purchased_Title.NUK Fashio,1"
"Product_Title.Vaseline I.three_Purchased_Title,"
"Product_Title.Vaseline I.three_Purchased_Title.nan,1"
"Product_Title.Suave Men ,"
"Product_Title.Suave Men .one_Purchased_Title,"
"Product_Title.Suave Men .one_Purchased_Title.Heinz Toma,1"
"Product_Title.Suave Men .two_Purchased_Title,"
"Product_Title.Suave Men .two_Purchased_Title.Reynolds W,1"
"Product_Title.Suave Men .three_Purchased_Title,"
"Product_Title.Suave Men .three_Purchased_Title.Resolve Ca,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Aveeno Bab,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Suave Prof,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Baby Dove ,1"
"Product_Title.St. Ives  ,"
"Product_Title.St. Ives  .one_Purchased_Title,"
"Product_Title.St. Ives  .one_Purchased_Title.Jack Link',1"
"Product_Title.St. Ives  .two_Purchased_Title,"
"Product_Title.St. Ives  .two_Purchased_Title.Colgate Se,1"
"Product_Title.St. Ives  .three_Purchased_Title,"
"Product_Title.St. Ives  .three_Purchased_Title.Poise Inco,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Herbal Ess,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Smucker's ,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Kellogg's ,1"
"Product_Title.Seventh Ge,"
"Product_Title.Seventh Ge.one_Purchased_Title,"
"Product_Title.Seventh Ge.one_Purchased_Title.Seventh Ge,1"
"Product_Title.Seventh Ge.two_Purchased_Title,"
"Product_Title.Seventh Ge.two_Purchased_Title.nan,1"
"Product_Title.Seventh Ge.three_Purchased_Title,"
"Product_Title.Seventh Ge.three_Purchased_Title.nan,1"
"Product_Title.Dove Beaut,"
"Product_Title.Dove Beaut.one_Purchased_Title,"
"Product_Title.Dove Beaut.one_Purchased_Title.Dial Antib,1"
"Product_Title.Dove Beaut.two_Purchased_Title,"
"Product_Title.Dove Beaut.two_Purchased_Title.Neosporin ,1"
"Product_Title.Dove Beaut.three_Purchased_Title,"
"Product_Title.Dove Beaut.three_Purchased_Title.Gillette V,1"
"Product_Title.AXE Hair S,"
"Product_Title.AXE Hair S.one_Purchased_Title,"
"Product_Title.AXE Hair S.one_Purchased_Title.AXE Messy ,1"
"Product_Title.AXE Hair S.two_Purchased_Title,"
"Product_Title.AXE Hair S.two_Purchased_Title.nan,1"
"Product_Title.AXE Hair S.three_Purchased_Title,"
"Product_Title.AXE Hair S.three_Purchased_Title.nan,1"
"Product_Title.Dove Beaut,"
"Product_Title.Dove Beaut.one_Purchased_Title,"
"Product_Title.Dove Beaut.one_Purchased_Title.OGX Condit,1"
"Product_Title.Dove Beaut.two_Purchased_Title,"
"Product_Title.Dove Beaut.two_Purchased_Title.OGX Shampo,1"
"Product_Title.Dove Beaut.three_Purchased_Title,"
"Product_Title.Dove Beaut.three_Purchased_Title.Glad OdorS,1"
"Product_Title.Degree Men,"
"Product_Title.Degree Men.one_Purchased_Title,"
"Product_Title.Degree Men.one_Purchased_Title.Optimum Nu,1"
"Product_Title.Degree Men.two_Purchased_Title,"
"Product_Title.Degree Men.two_Purchased_Title.nan,1"
"Product_Title.Degree Men.three_Purchased_Title,"
"Product_Title.Degree Men.three_Purchased_Title.nan,1"
"Product_Title.Seventh Ge,"
"Product_Title.Seventh Ge.one_Purchased_Title,"
"Product_Title.Seventh Ge.one_Purchased_Title.Planters C,1"
"Product_Title.Seventh Ge.two_Purchased_Title,"
"Product_Title.Seventh Ge.two_Purchased_Title.Kellogg's ,1"
"Product_Title.Seventh Ge.three_Purchased_Title,"
"Product_Title.Seventh Ge.three_Purchased_Title.Cheerios G,1"
"Product_Title.Nexxus Pro,"
"Product_Title.Nexxus Pro.one_Purchased_Title,"
"Product_Title.Nexxus Pro.one_Purchased_Title.Tom's of M,1"
"Product_Title.Nexxus Pro.two_Purchased_Title,"
"Product_Title.Nexxus Pro.two_Purchased_Title.Scotch-Bri,1"
"Product_Title.Nexxus Pro.three_Purchased_Title,"
"Product_Title.Nexxus Pro.three_Purchased_Title.Organyc 10,1"
"Product_Title.Dove Men+C,"
"Product_Title.Dove Men+C.one_Purchased_Title,"
"Product_Title.Dove Men+C.one_Purchased_Title.Ortho 0220,1"
"Product_Title.Dove Men+C.two_Purchased_Title,"
"Product_Title.Dove Men+C.two_Purchased_Title.nan,1"
"Product_Title.Dove Men+C.three_Purchased_Title,"
"Product_Title.Dove Men+C.three_Purchased_Title.nan,1"
"Product_Title.Dove Beaut,"
"Product_Title.Dove Beaut.one_Purchased_Title,"
"Product_Title.Dove Beaut.one_Purchased_Title.Zucchini S,1"
"Product_Title.Dove Beaut.two_Purchased_Title,"
"Product_Title.Dove Beaut.two_Purchased_Title.Strawberri,1"
"Product_Title.Dove Beaut.three_Purchased_Title,"
"Product_Title.Dove Beaut.three_Purchased_Title.Honeycrisp,1"
"Product_Title.St. Ives R,"
"Product_Title.St. Ives R.one_Purchased_Title,"
"Product_Title.St. Ives R.one_Purchased_Title.Secret Out,1"
"Product_Title.St. Ives R.two_Purchased_Title,"
"Product_Title.St. Ives R.two_Purchased_Title.Apple & Ev,1"
"Product_Title.St. Ives R.three_Purchased_Title,"
"Product_Title.St. Ives R.three_Purchased_Title.Clean & Cl,1"
"Product_Title.Suave Men ,"
"Product_Title.Suave Men .one_Purchased_Title,"
"Product_Title.Suave Men .one_Purchased_Title.Ocean Spra,1"
"Product_Title.Suave Men .two_Purchased_Title,"
"Product_Title.Suave Men .two_Purchased_Title.Bananas, 1,1"
"Product_Title.Suave Men .three_Purchased_Title,"
"Product_Title.Suave Men .three_Purchased_Title.Organic Le,1"
"Product_Title.Dove Nutri,"
"Product_Title.Dove Nutri.one_Purchased_Title,"
"Product_Title.Dove Nutri.one_Purchased_Title.Starbucks ,1"
"Product_Title.Dove Nutri.two_Purchased_Title,"
"Product_Title.Dove Nutri.two_Purchased_Title.Gatorade T,1"
"Product_Title.Dove Nutri.three_Purchased_Title,"
"Product_Title.Dove Nutri.three_Purchased_Title.Biore Deep,1"
"Product_Title.Suave  Ant,"
"Product_Title.Suave  Ant.one_Purchased_Title,"
"Product_Title.Suave  Ant.one_Purchased_Title.Gillette V,1"
"Product_Title.Suave  Ant.two_Purchased_Title,"
"Product_Title.Suave  Ant.two_Purchased_Title.Raisin Bra,1"
"Product_Title.Suave  Ant.three_Purchased_Title,"
"Product_Title.Suave  Ant.three_Purchased_Title.Downy Apri,1"
"Product_Title.Knorr Past,"
"Product_Title.Knorr Past.one_Purchased_Title,"
"Product_Title.Knorr Past.one_Purchased_Title.Wellness S,1"
"Product_Title.Knorr Past.two_Purchased_Title,"
"Product_Title.Knorr Past.two_Purchased_Title.nan,1"
"Product_Title.Knorr Past.three_Purchased_Title,"
"Product_Title.Knorr Past.three_Purchased_Title.nan,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Arnold Cou,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Arnold Ses,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Crimini (B,1"
"Product_Title.Dove go fr,"
"Product_Title.Dove go fr.one_Purchased_Title,"
"Product_Title.Dove go fr.one_Purchased_Title.TUMS Antac,1"
"Product_Title.Dove go fr.two_Purchased_Title,"
"Product_Title.Dove go fr.two_Purchased_Title.Cork Pops ,1"
"Product_Title.Dove go fr.three_Purchased_Title,"
"Product_Title.Dove go fr.three_Purchased_Title.PetSafe Dr,1"
"Product_Title.TRESemme S,"
"Product_Title.TRESemme S.one_Purchased_Title,"
"Product_Title.TRESemme S.one_Purchased_Title.Oral-B 3D ,1"
"Product_Title.TRESemme S.two_Purchased_Title,"
"Product_Title.TRESemme S.two_Purchased_Title.nan,1"
"Product_Title.TRESemme S.three_Purchased_Title,"
"Product_Title.TRESemme S.three_Purchased_Title.nan,1"
"Product_Title.Dove Body ,"
"Product_Title.Dove Body .one_Purchased_Title,"
"Product_Title.Dove Body .one_Purchased_Title.Aussie Moi,1"
"Product_Title.Dove Body .two_Purchased_Title,"
"Product_Title.Dove Body .two_Purchased_Title.Crest Comp,1"
"Product_Title.Dove Body .three_Purchased_Title,"
"Product_Title.Dove Body .three_Purchased_Title.Aussie Moi,1"
"Product_Title.Suave Skin,"
"Product_Title.Suave Skin.one_Purchased_Title,"
"Product_Title.Suave Skin.one_Purchased_Title.Café Esca,1"
"Product_Title.Suave Skin.two_Purchased_Title,"
"Product_Title.Suave Skin.two_Purchased_Title.nan,1"
"Product_Title.Suave Skin.three_Purchased_Title,"
"Product_Title.Suave Skin.three_Purchased_Title.nan,1"
"Product_Title.Knorr Rice,"
"Product_Title.Knorr Rice.one_Purchased_Title,"
"Product_Title.Knorr Rice.one_Purchased_Title.Progresso ,1"
"Product_Title.Knorr Rice.two_Purchased_Title,"
"Product_Title.Knorr Rice.two_Purchased_Title.Natures Pa,1"
"Product_Title.Knorr Rice.three_Purchased_Title,"
"Product_Title.Knorr Rice.three_Purchased_Title.Amy's Orga,1"
"Product_Title.Knorr Grav,"
"Product_Title.Knorr Grav.one_Purchased_Title,"
"Product_Title.Knorr Grav.one_Purchased_Title.Lipton Rec,1"
"Product_Title.Knorr Grav.two_Purchased_Title,"
"Product_Title.Knorr Grav.two_Purchased_Title.Knorr Grav,1"
"Product_Title.Knorr Grav.three_Purchased_Title,"
"Product_Title.Knorr Grav.three_Purchased_Title.Zulu Atlas,1"
"Product_Title.Knorr Food,"
"Product_Title.Knorr Food.one_Purchased_Title,"
"Product_Title.Knorr Food.one_Purchased_Title.Zevia—Gi,1"
"Product_Title.Knorr Food.two_Purchased_Title,"
"Product_Title.Knorr Food.two_Purchased_Title.nan,1"
"Product_Title.Knorr Food.three_Purchased_Title,"
"Product_Title.Knorr Food.three_Purchased_Title.nan,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.One X,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Reef Women,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Reef Women,1"
"Product_Title.Dove Purel,"
"Product_Title.Dove Purel.one_Purchased_Title,"
"Product_Title.Dove Purel.one_Purchased_Title.Tide Plus ,1"
"Product_Title.Dove Purel.two_Purchased_Title,"
"Product_Title.Dove Purel.two_Purchased_Title.Downy Apri,1"
"Product_Title.Dove Purel.three_Purchased_Title,"
"Product_Title.Dove Purel.three_Purchased_Title.Dove Purel,1"
"Product_Title.Knorr Sele,"
"Product_Title.Knorr Sele.one_Purchased_Title,"
"Product_Title.Knorr Sele.one_Purchased_Title.Thai Kitch,1"
"Product_Title.Knorr Sele.two_Purchased_Title,"
"Product_Title.Knorr Sele.two_Purchased_Title.Road's End,1"
"Product_Title.Knorr Sele.three_Purchased_Title,"
"Product_Title.Knorr Sele.three_Purchased_Title.Road's End,1"
"Product_Title.Q-tips Cot,"
"Product_Title.Q-tips Cot.one_Purchased_Title,"
"Product_Title.Q-tips Cot.one_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Q-tips Cot.two_Purchased_Title,"
"Product_Title.Q-tips Cot.two_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Q-tips Cot.three_Purchased_Title,"
"Product_Title.Q-tips Cot.three_Purchased_Title.Method Nat,1"
"Product_Title.Lipton Ice,"
"Product_Title.Lipton Ice.one_Purchased_Title,"
"Product_Title.Lipton Ice.one_Purchased_Title.Milk-Bone ,1"
"Product_Title.Lipton Ice.two_Purchased_Title,"
"Product_Title.Lipton Ice.two_Purchased_Title.nan,1"
"Product_Title.Lipton Ice.three_Purchased_Title,"
"Product_Title.Lipton Ice.three_Purchased_Title.nan,1"
"Product_Title.Tresemme B,"
"Product_Title.Tresemme B.one_Purchased_Title,"
"Product_Title.Tresemme B.one_Purchased_Title.TRESemmé ,1"
"Product_Title.Tresemme B.two_Purchased_Title,"
"Product_Title.Tresemme B.two_Purchased_Title.Caress Bod,1"
"Product_Title.Tresemme B.three_Purchased_Title,"
"Product_Title.Tresemme B.three_Purchased_Title.nan,1"
"Product_Title.Simple Kin,"
"Product_Title.Simple Kin.one_Purchased_Title,"
"Product_Title.Simple Kin.one_Purchased_Title.Bananas, 1,1"
"Product_Title.Simple Kin.two_Purchased_Title,"
"Product_Title.Simple Kin.two_Purchased_Title.Zucchini S,1"
"Product_Title.Simple Kin.three_Purchased_Title,"
"Product_Title.Simple Kin.three_Purchased_Title.Strawberri,1"
"Product_Title.Dove go fr,"
"Product_Title.Dove go fr.one_Purchased_Title,"
"Product_Title.Dove go fr.one_Purchased_Title.Aztec Secr,1"
"Product_Title.Dove go fr.two_Purchased_Title,"
"Product_Title.Dove go fr.two_Purchased_Title.N.Y.C. New,1"
"Product_Title.Dove go fr.three_Purchased_Title,"
"Product_Title.Dove go fr.three_Purchased_Title.Crest 3D W,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Stash Tea ,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Pepsi Bott,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Primos Ter,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.CVA Barrel,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.CVA BPI Po,1"
"Product_Title.Dove go sl,"
"Product_Title.Dove go sl.one_Purchased_Title,"
"Product_Title.Dove go sl.one_Purchased_Title.EcoTools 6,1"
"Product_Title.Dove go sl.two_Purchased_Title,"
"Product_Title.Dove go sl.two_Purchased_Title.St. Ives R,1"
"Product_Title.Dove go sl.three_Purchased_Title,"
"Product_Title.Dove go sl.three_Purchased_Title.Biore Baki,1"
"Product_Title.Knorr Past,"
"Product_Title.Knorr Past.one_Purchased_Title,"
"Product_Title.Knorr Past.one_Purchased_Title.Maruchan R,1"
"Product_Title.Knorr Past.two_Purchased_Title,"
"Product_Title.Knorr Past.two_Purchased_Title.Maruchan I,1"
"Product_Title.Knorr Past.three_Purchased_Title,"
"Product_Title.Knorr Past.three_Purchased_Title.Velveeta S,1"
"Product_Title.Degree Dry,"
"Product_Title.Degree Dry.one_Purchased_Title,"
"Product_Title.Degree Dry.one_Purchased_Title.Oasis supp,1"
"Product_Title.Degree Dry.two_Purchased_Title,"
"Product_Title.Degree Dry.two_Purchased_Title.Food Color,1"
"Product_Title.Degree Dry.three_Purchased_Title,"
"Product_Title.Degree Dry.three_Purchased_Title.AmeriColor,1"
"Product_Title.Dove Advan,"
"Product_Title.Dove Advan.one_Purchased_Title,"
"Product_Title.Dove Advan.one_Purchased_Title.YARDGARD 8,1"
"Product_Title.Dove Advan.two_Purchased_Title,"
"Product_Title.Dove Advan.two_Purchased_Title.nan,1"
"Product_Title.Dove Advan.three_Purchased_Title,"
"Product_Title.Dove Advan.three_Purchased_Title.nan,1"
"Product_Title.Suave Skin,"
"Product_Title.Suave Skin.one_Purchased_Title,"
"Product_Title.Suave Skin.one_Purchased_Title.Purina ALP,1"
"Product_Title.Suave Skin.two_Purchased_Title,"
"Product_Title.Suave Skin.two_Purchased_Title.Dasani DRO,1"
"Product_Title.Suave Skin.three_Purchased_Title,"
"Product_Title.Suave Skin.three_Purchased_Title.Johnson's ,1"
"Product_Title.Dove Beaut,"
"Product_Title.Dove Beaut.one_Purchased_Title,"
"Product_Title.Dove Beaut.one_Purchased_Title.Wunderbrow,1"
"Product_Title.Dove Beaut.two_Purchased_Title,"
"Product_Title.Dove Beaut.two_Purchased_Title.nan,1"
"Product_Title.Dove Beaut.three_Purchased_Title,"
"Product_Title.Dove Beaut.three_Purchased_Title.nan,1"
"Product_Title.Dove go fr,"
"Product_Title.Dove go fr.one_Purchased_Title,"
"Product_Title.Dove go fr.one_Purchased_Title.Neutrogena,1"
"Product_Title.Dove go fr.two_Purchased_Title,"
"Product_Title.Dove go fr.two_Purchased_Title.nan,1"
"Product_Title.Dove go fr.three_Purchased_Title,"
"Product_Title.Dove go fr.three_Purchased_Title.nan,1"
"Product_Title.Caress Exf,"
"Product_Title.Caress Exf.one_Purchased_Title,"
"Product_Title.Caress Exf.one_Purchased_Title.Intervet S,1"
"Product_Title.Caress Exf.two_Purchased_Title,"
"Product_Title.Caress Exf.two_Purchased_Title.Banana Rou,1"
"Product_Title.Caress Exf.three_Purchased_Title,"
"Product_Title.Caress Exf.three_Purchased_Title.Divide,1"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.Heinz Toma,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.CLIF BAR -,1"
